"Date";"Open";"High";"Low";"Close";"Volume";"Market.Cap"
2018-01-03;14895,27536735;15646,498637585;14470,737671493;15079,15218495;15486225672,3546;253883215212,241
2018-01-04;15168,972365175;16708,709266664;14286,669853351;15163,898947535;17853763690,764;251036679559,875
2018-01-05;15197,764745391;17161,635003707;14878,0481744;16989,161481747;19609983790,0187;271843354493,041
2018-01-06;17025,656424047;17179,033573147;16336,056215275;17162,016412946;18955266190,6813;288261636551,3
2018-01-07;17147,576402894;17147,576402894;15811,120768799;16515,287371965;14928537112,9434;284648058031,048
2018-01-08;16265,340844756;18578,493142396;13940,416001941;15218,632857746;15332152745,8462;263409481941,753
2018-01-09;15190,761147069;16153,556214671;14491,073050464;14710,596362322;16217162079,8316;253514317696,626
2018-01-10;14705,367542398;15065,002517675;13822,149498706;15065,002517675;15928534701,2719;241449931229,676
2018-01-11;15120,84411144;15152,804514005;13113,737744593;13501,981444344;15709420580,7026;233207775642,16
2018-01-12;13571,758126006;14364,992142127;13108,291157969;14089,112033817;12799444154,4852;232155990926,145
2018-01-13;14066,981282517;14807,729008217;14066,981282517;14552,77603151;11643386357,6145;241810847783,364
2018-01-14;14535,057286259;14661,400704008;13123,356032067;13815,429666612;11121051176,1907;230699974615,234
2018-01-15;13787,98920627;14929,667351109;13663,142424701;13769,216435276;10282025656,5073;234632138926,311
2018-01-16;13797,975542571;14430,170952945;9963,10119158;11445,849644238;12240679658,2712;205856887976,894
2018-01-17;11284,388635522;11750,695241382;9300,527455183;11139,592088881;15748924942,6347;180279809333,967
2018-01-18;11201,992361192;12348,932376726;10755,679508422;11305,307396791;15847953323,9442;192666388610,116
2018-01-19;11209,291941978;12140,061615752;10839,803032519;11517,129950568;11002606473,2728;196527383915,195
2018-01-20;11571,617873758;13482,691244303;11571,617873758;12961,205660273;9405841903,81267;213472791318,776
2018-01-21;12982,920751349;12982,920751349;11241,295911277;11481,025132436;8556846220,19624;199805387138,931
2018-01-22;11529,521821363;11950,617668728;10164,073082741;10917,306414711;8135625786,55495;189107108572,01
2018-01-23;10917,290839889;11335,215751995;10113,380400145;10800,472615701;9191153509,34925;181273974069,99
2018-01-24;10821,591111563;10821,591111563;10821,591111563;10821,591111563;8473730459,79288;182164267415,07
2018-01-25;11353,62685415;11730,745604714;11027,005448015;11219,436704426;8775510518,34515;192123000717,175
2018-01-26;11203,60858273;11668,426452127;10406,809045045;11123,950152867;7926703935,63335;186594089305,962
2018-01-27;11112,817847687;11648,848042101;10943,323711993;11446,468733025;7210080913,51112;190779837251,987
2018-01-28;11492,650190852;12113,076354227;11460,249891942;11865,231885092;6719212830,42997;198082558702,675
2018-01-29;11778,744249792;11924,955295137;11235,995908096;11348,083790888;4406818761,11768;192714118670,857
2018-01-30;11365,345139521;11366,824017724;10003,928921889;10084,495241595;4488869928,00243;181011266089,906
2018-01-31;10104,971872028;10421,662696687;9755,96851799;10236,675068931;5056861149,343;169941072424,749
2018-02-01;10269,843886839;10332,946065138;8700,332594602;9171,249368766;4557095326,88657;162034796737,132
2018-02-02;9118,231270487;9127,685960842;7588,546350746;8768,328114939;5511338158,35658;144265487015,068
2018-02-03;8763,536968439;9417,790992471;8173,7299468;9191,270887881;4856472806,49991;151010871500,657
2018-02-04;9198,067913658;9351,571884294;7986,357858902;8256,583798421;3993493752,4682;147141784507,898
2018-02-05;8215,505812363;8343,181452195;6665,107706126;6905,959542551;4795001556,72706;129986071801,309
2018-02-06;6910,997302186;7888,143212961;5963,239119047;7768,942754801;5255682912,87472;115936410722,158
2018-02-07;7714,07310376;8503,327576797;7221,330450407;7587,933554388;5174580851,48719;133718322412,774
2018-02-08;7569,867386754;8587,375056937;7569,867386754;8256,155151159;4511057946,2046;139923626486,084
2018-02-09;8266,287000352;8708,001259213;7850,112866102;8684,106762449;4374319140,23199;139813375515,397
2018-02-10;8697,342477143;9080,513089875;8282,274355868;8624,238537612;4794961601,20856;146923735750,311
2018-02-11;8624,258121035;8624,258121035;7914,921550101;8099,307365642;3776449040,87182;138897573472,046
2018-02-12;8120,351924296;8968,577272289;8120,351924296;8863,25280634;3543127386,70166;145800341725,177
2018-02-13;8887,228306759;8906,177327189;8424,412410662;8577,572063714;3616243668,16239;146264694620,377
2018-02-14;8564,700308406;9518,54;8564,700308406;9505,15;6626407147,12994;153318027840,989
2018-02-15;9494,63;10183,839544352;9408,506508827;10117,074989492;4739907420,80256;165589174576,444
2018-02-16;10091,750212088;10275,012369206;9811,975773487;10245,308854663;4465120674,47924;170718163129,385
2018-02-17;10234,612793074;11123,134450644;10164,864839284;11095,608602104;4558021813,75308;180731004088,919
2018-02-18;11124,360485028;11326,127511759;10338,069950572;10576,175563517;5158247526,95291;182672172258,918
2018-02-19;10562,644468981;11224,553488527;10512,369514952;11191,902658673;4101946824,88401;184095687081,53
2018-02-20;11197,759777513;11976,619483523;11197,759777513;11446,215061411;4769640709,91554;196500409482,054
2018-02-21;11436,166476281;11436,166476281;10502,252235985;10680,361706517;5508367041,89593;185355964500,564
2018-02-22;10691,350530395;11034,671353368;9913,997706791;9987,171846325;5331192808,40426;175425443931,256
2018-02-23;9972,72335964;10493,769149903;9732,257318424;10348,067628802;4784103251,90233;170839836666,231
2018-02-24;10328,567370931;10605,869417366;9593,227151294;9843,276427204;3787518210,30292;169467401242,955
2018-02-25;9844,516789724;9958,130899873;9413,022290432;9699,647408137;3265197229,41453;163411665694,334
2018-02-26;9703,321915886;10481,370878649;9513,12294083;10371,772676836;3261955537,97354;167531121149,478
2018-02-27;10388,882339564;10913,296357158;10256,804875528;10736,490533616;3915484543,413;179335649688,148
2018-02-28;10727,535133876;11085,824873453;10402,007260873;10412,024007874;3642202553,58713;179860191235,508
2018-03-01;10423,581475732;10974,716730809;10375,265795632;10929,765497461;3441035104,33882;179665284931,122
2018-03-02;10920,662074394;11157,479571807;10724,630823023;11095,091955664;4030692043,94886;186991777621,602
2018-03-03;11094,237419658;11531,368984275;11094,237419658;11494,898944222;3526443821,14125;192299293713,932
2018-03-04;11497,564316573;11516,383565834;11144,735675761;11516,383565834;3861373865,89805;190891708185,227
2018-03-05;11502,666673068;11622,503172979;11394,627184642;11527,568787431;4219752283,90836;194875403407,364
2018-03-06;11520,402454973;11520,402454973;10637,819708432;10697,57229427;4804420267,10647;186711319238,136
2018-03-07;10721,475282301;10869,53870738;9701,563390344;9968,268316381;5234978812,59011;177918066329,573
2018-03-08;9971,758251061;10139,850278964;9338,281974814;9433,592923413;4793198292,94054;165030983908,595
2018-03-09;9411,715540851;9479,824937494;8497,330821622;9345,521676052;4328631178,02956;151766844899,476
